attendance_percentage,avg_unit_marks,sir_term_test_avg,school_term_test_avg,homework_completion_rate,behavior_score,final_grade
82.45,62.23,72.95,91.51,65.32,71.49,B
98.69,80.35,50.61,69.94,60.73,68.01,B
78.63,26.73,25.5,45.63,49.74,79.71,W
61.38,36.75,89.31,53.03,71.35,53.63,S
66.83,67.22,36.98,66.27,57.99,70.62,C
65.97,100.0,59.73,34.73,86.45,56.69,C
78.13,25.81,33.44,62.33,84.77,77.57,S
73.27,58.98,30.43,42.16,60.79,90.86,S
80.15,29.74,66.48,49.53,56.46,84.18,S
90.46,83.63,43.22,51.2,76.63,89.63,C
67.81,61.29,37.87,31.68,86.25,95.34,S
73.92,85.07,67.23,43.81,77.23,98.07,C
74.46,96.29,20.0,76.08,71.74,70.51,C
76.38,25.25,55.61,65.86,99.56,67.23,S
62.87,54.96,78.31,65.23,59.4,82.7,C
76.46,84.37,45.96,50.79,62.16,53.05,C
79.44,70.22,60.1,52.84,41.69,68.69,C
69.86,48.95,56.77,66.89,100.0,77.62,C
78.86,63.51,21.62,57.42,71.2,100.0,S
72.11,71.03,59.31,32.29,92.86,86.28,C
86.87,46.81,88.06,27.16,81.74,100.0,C
60.14,53.67,61.99,46.92,38.99,76.03,S
59.07,74.47,41.61,92.1,54.33,70.17,C
87.2,40.38,64.55,86.76,37.85,77.77,C
78.9,80.64,35.26,28.95,80.44,79.45,S
78.76,71.93,46.4,63.11,75.86,64.28,C
100.0,74.48,36.17,72.44,50.51,86.81,C
92.38,48.59,79.27,67.08,86.44,100.0,B
71.32,49.93,42.21,40.05,68.46,80.12,S
79.15,81.54,60.26,89.98,64.71,100.0,B
84.39,47.86,38.58,68.61,65.53,85.71,C
82.1,63.54,43.06,24.67,61.07,87.85,S
78.21,40.09,63.46,66.48,52.32,77.31,C
75.87,42.14,67.16,70.34,91.66,90.81,C
54.33,46.24,70.3,69.3,80.3,100.0,C
83.56,87.71,79.08,72.33,63.69,86.38,B
63.41,60.26,50.29,59.8,100.0,46.99,C
85.29,32.75,50.56,81.96,71.29,58.83,C
64.27,78.59,45.39,62.76,70.91,65.23,C
100.0,77.68,20.0,62.1,56.76,87.79,C
63.11,62.71,70.1,77.05,45.99,69.98,C
67.88,51.93,95.31,66.91,44.78,88.77,C
100.0,85.65,29.61,47.35,95.34,64.38,C
81.66,80.49,41.46,56.69,10.0,59.63,S
71.21,40.04,92.65,26.54,61.2,76.96,S
96.62,36.28,83.26,58.23,50.37,81.93,C
77.99,53.0,61.4,49.52,72.27,84.93,C
98.79,40.24,100.0,20.0,66.96,83.82,C
79.21,52.55,55.84,47.15,58.21,87.74,S
80.36,51.14,77.99,64.76,86.26,84.44,C
62.57,53.8,74.95,71.43,69.58,76.76,C
94.16,53.17,70.94,53.55,65.65,91.48,C
87.38,81.27,86.11,58.46,83.64,70.35,B
79.86,62.4,61.94,71.09,53.64,100.0,C
59.91,40.72,83.16,75.42,82.48,84.43,C
74.82,47.05,61.52,43.1,89.5,72.79,S
62.62,58.57,68.26,45.6,53.56,78.66,S
78.67,54.86,50.58,63.11,41.04,53.89,S
64.22,60.73,66.22,90.46,87.15,72.6,B
74.71,44.95,59.63,51.65,76.45,62.59,S
82.79,95.65,57.82,66.84,83.8,68.98,B
78.36,65.25,61.95,40.99,70.49,82.47,C
96.77,84.19,100.0,41.12,87.45,77.75,B
100.0,48.83,43.21,44.81,27.52,67.11,S
63.61,68.01,66.84,99.28,89.01,66.35,B
61.52,74.84,33.6,98.29,93.59,67.96,B
49.3,92.08,57.71,85.23,38.11,66.01,B
75.08,65.94,51.0,71.7,48.65,72.86,C
76.8,75.29,74.23,33.26,39.32,94.17,C
79.98,50.03,91.02,60.54,93.59,76.01,B
100.0,100.0,55.02,79.37,82.91,95.53,A
60.53,78.72,81.17,20.0,46.33,44.41,S
70.96,79.35,90.05,59.63,100.0,54.3,B
49.45,63.89,67.68,57.28,28.65,73.66,S
55.43,78.39,67.33,37.32,59.72,59.11,S
74.06,84.1,40.29,69.09,59.39,63.11,C
73.39,44.3,48.93,31.65,100.0,75.53,S
64.5,69.28,57.75,53.14,82.28,86.36,C
67.04,53.48,54.5,20.0,39.7,95.5,W
99.67,60.02,71.53,64.85,100.0,91.79,B
73.08,45.89,27.87,62.48,54.87,53.67,S
65.3,43.37,93.74,77.4,69.84,97.2,B
76.16,47.77,90.46,69.86,49.26,72.14,C
61.87,37.34,78.52,100.0,42.03,83.44,C
65.24,55.26,48.15,38.99,70.97,62.54,S
79.06,64.0,55.22,38.03,58.46,86.33,S
82.51,45.45,61.99,74.53,36.61,83.15,C
65.06,76.41,44.73,20.0,37.45,75.72,S
78.9,46.91,72.77,21.45,68.68,56.83,S
65.22,65.95,42.79,49.54,90.13,66.35,S
87.54,42.41,70.6,89.71,20.57,63.05,C
83.66,60.94,67.42,44.71,71.73,72.66,C
92.52,70.09,66.75,48.94,60.25,68.51,C
80.92,56.58,65.8,100.0,87.42,70.11,B
93.02,56.84,20.0,35.82,32.58,69.73,W
75.28,98.53,66.54,53.18,86.59,41.83,B
78.53,80.42,30.43,83.16,76.77,68.77,C
84.49,100.0,63.64,63.46,60.81,62.25,B
87.46,47.88,61.43,47.49,79.58,80.0,C
90.56,54.8,54.6,36.47,61.11,80.66,S
86.35,46.56,77.39,87.82,78.27,100.0,B
63.39,40.11,24.43,90.91,83.09,74.17,S
79.2,42.49,100.0,60.84,72.19,85.89,C
82.22,69.48,44.19,68.37,100.0,95.18,B
98.9,54.78,40.21,55.23,71.11,91.41,C
49.61,95.59,56.84,48.61,49.76,50.18,C
87.35,66.47,34.2,29.51,63.28,100.0,S
71.11,34.94,55.09,52.0,16.06,74.19,W
71.54,78.92,96.98,82.78,64.62,58.4,B
100.0,66.18,60.28,57.47,73.96,72.83,C
66.4,54.06,59.34,46.04,55.74,76.6,S
71.18,95.08,20.0,82.01,94.92,43.9,B
69.86,57.57,31.85,40.89,47.79,100.0,S
89.04,90.43,74.43,33.16,59.51,82.34,C
56.67,79.26,55.19,49.75,84.22,81.66,C
69.59,88.19,38.38,71.55,81.86,70.36,C
79.89,39.98,78.48,53.93,59.55,90.74,C
64.43,36.83,28.87,71.33,44.39,100.0,S
43.77,98.93,64.22,55.87,59.1,80.99,C
74.44,87.07,62.28,61.31,62.73,74.15,B
79.62,30.8,33.04,74.35,73.42,72.24,S
75.28,71.95,49.2,40.88,73.92,60.32,S
